especie,lat,lon
Lepidium bipinnatifidum,4.763163,-74.090303
Lepidium bipinnatifidum,4.671982,-74.05229
Lepidium bipinnatifidum,4.672448,-74.053323
Lepidium bipinnatifidum,4.67245,-74.053327
Lepidium bipinnatifidum,4.672563,-74.053333
Lepidium bipinnatifidum,4.672235,-74.052356
Lepidium bipinnatifidum,4.654815,-74.055268
Lepidium bipinnatifidum,4.654815,-74.055268
Lepidium bipinnatifidum,4.501119,-74.114753
Lepidium bipinnatifidum,4.739008,-74.083794
Lepidium bipinnatifidum,4.573167,-74.118581
Lepidium bipinnatifidum,4.74188,-74.083384
Lepidium bipinnatifidum,4.70144,-74.091873
Lepidium bipinnatifidum,4.624107,-74.077043
Lepidium bipinnatifidum,4.624107,-74.077043
Lepidium bipinnatifidum,4.911513,-74.029608
Lepidium bipinnatifidum,4.624107,-74.077043
Lepidium bipinnatifidum,4.703742,-74.07048
Lepidium bipinnatifidum,4.74426,-74.084319
Lepidium bipinnatifidum,4.674983,-74.130639
Lepidium bipinnatifidum,4.581809,-74.111619
Lepidium bipinnatifidum,4.859842,-74.063087
Lepidium bipinnatifidum,4.654813,-74.055269
Lepidium bipinnatifidum,4.674778,-74.051809
Lepidium bipinnatifidum,4.671355,-74.053019
Lepidium bipinnatifidum,4.755992,-74.074765
Lepidium bipinnatifidum,4.670861,-74.054332
Lepidium bipinnatifidum,4.670008,-74.054228
Lepidium bipinnatifidum,4.755736,-74.075536
Lepidium bipinnatifidum,4.756056,-74.074775
Lepidium bipinnatifidum,4.756272,-74.077953
Lepidium bipinnatifidum,4.867958,-74.057878
Lepidium bipinnatifidum,4.675709,-74.055533
Lepidium bipinnatifidum,4.672545,-74.054286
Lepidium bipinnatifidum,4.678078,-74.054511
Lepidium bipinnatifidum,4.678494,-74.055235
Lepidium bipinnatifidum,4.675619,-74.05547
Lepidium bipinnatifidum,4.678391,-74.054949
Lepidium bipinnatifidum,4.678401,-74.054956
Lepidium bipinnatifidum,4.678334,-74.054864
Lepidium bipinnatifidum,4.678248,-74.054643
Lepidium bipinnatifidum,4.667642,-74.048978
Lepidium bipinnatifidum,4.670657,-74.053416
Lepidium bipinnatifidum,4.670065,-74.05558
Lepidium bipinnatifidum,4.667643,-74.048922
Lepidium bipinnatifidum,4.677532,-74.055348
Lepidium bipinnatifidum,4.669594,-74.046365
Lepidium bipinnatifidum,4.673622,-74.132661
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.606,-74.15813
Lepidium bipinnatifidum,4.666849,-74.046108
Lepidium bipinnatifidum,4.676179,-74.045485
Lepidium bipinnatifidum,4.634347,-74.063658
Lepidium bipinnatifidum,4.673829,-74.058106
Lepidium bipinnatifidum,4.673428,-74.058201
Lepidium bipinnatifidum,4.673071,-74.058941
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.835378,-74.312805
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.839297,-74.308113
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.71455,-74.131971
Lepidium bipinnatifidum,4.761163,-74.104077
Lepidium bipinnatifidum,4.728406,-74.110168
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.769227,-74.099358
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.767466,-74.099109
Lepidium bipinnatifidum,4.608308,-74.053568
Lepidium bipinnatifidum,5.80388,-73.078955
Lepidium bipinnatifidum,4.487693,-74.153231
Lepidium bipinnatifidum,4.604251,-74.060778
Lepidium bipinnatifidum,4.609806,-74.062028
Lepidium bipinnatifidum,4.609806,-74.062028
Lepidium bipinnatifidum,4.609694,-74.061833
Lepidium bipinnatifidum,4.609417,-74.061751
Lepidium bipinnatifidum,4.609417,-74.061751
Lepidium bipinnatifidum,4.609242,-74.055381
Lepidium bipinnatifidum,4.609694,-74.061833
Lepidium bipinnatifidum,4.609694,-74.061833
Lepidium bipinnatifidum,5.278572,-73.49073
Lepidium bipinnatifidum,4.67433,-74.13319
Lepidium bipinnatifidum,4.67433,-74.13319
Lepidium bipinnatifidum,4.67433,-74.13319
Lepidium bipinnatifidum,4.633462,-74.197075
Lepidium bipinnatifidum,4.655442,-74.155291
Lepidium bipinnatifidum,4.655744,-74.155079
Lepidium bipinnatifidum,4.655449,-74.155379
Lepidium bipinnatifidum,4.633584,-74.196812
Lepidium bipinnatifidum,4.655123,-74.155675
Lepidium bipinnatifidum,4.655131,-74.155586
Lepidium bipinnatifidum,4.653903,-74.156845
Lepidium bipinnatifidum,4.652959,-74.157685
Lepidium bipinnatifidum,4.652644,-74.158069
Lepidium bipinnatifidum,4.633854,-74.196184
Lepidium bipinnatifidum,4.646364,-74.171473
Lepidium bipinnatifidum,4.647613,-74.168477
Lepidium bipinnatifidum,4.64748,-74.168524
Lepidium bipinnatifidum,4.635042,-74.1909
Lepidium bipinnatifidum,4.648001,-74.167306
Lepidium bipinnatifidum,4.648131,-74.167208
Lepidium bipinnatifidum,4.646242,-74.172238
Lepidium bipinnatifidum,4.656087,-74.154269
Lepidium bipinnatifidum,4.6434,-74.178385
Lepidium bipinnatifidum,4.64213,-74.180871
Lepidium bipinnatifidum,4.643594,-74.178059
Lepidium bipinnatifidum,4.643454,-74.178422
Lepidium bipinnatifidum,4.643635,-74.178058
Lepidium bipinnatifidum,4.643936,-74.177494
Lepidium bipinnatifidum,4.643207,-74.178561
Lepidium bipinnatifidum,4.643155,-74.178561
Lepidium bipinnatifidum,4.67291,-74.16575
Lepidium bipinnatifidum,4.67291,-74.16575
Lepidium bipinnatifidum,4.770192,-74.0998
Lepidium bipinnatifidum,4.671938,-74.038679
